Address,Baths,Beds,Price,Size,Suffix
"ফায়দাবাদ মেইন রোড(মিজানের গ্যারেজ), দক্ষিণখান, উত্তরা, ঢাকা-১২৩০।",2,3,"3,600","1,050 sqft", per sqft
GULSHAN 2,4,3,"34,500,000","2,300 sqft", total price
"plot - 09 Road - 01,Army Housing Society,dakkhin khan,uttara,Dhaka",3,3,"3,550","1,435 sqft", per sqft
"1338 East shewrapara,kafrul dhaka' 1216",3,3,"5,000","1,525 sqft", per sqft
"1200 East Shewrapara, Kafrul , Dhaka - 1216",3,3,"3,500","1,395 sqft", per sqft
Uttara,3,3,"11,000,000","1,770 sqft", total price
"road-08,house-141,block-E,secation-11",2,2,"4,000,000",720 sqft, total price
"Holy Mimma Garden, 31/3 Tajmohol Road, Block # C, Mohammadpur, Dhaka-1207, Near Krishi Market",2,2,"3,500,000",720 sqft, total price
"Uttara, Sector - 10, Road # 02",4,4,"25,000,000","2,510 sqft", total price
"1200 East Shewrapara,  Dhaka - 1216",3,3,"3,500","1,090 sqft", per sqft
"বাড়ী নং: খ-১৭, শাহ্জাদপুর, গুলশান-০২, ঢাকা",3,3,"5,600","1,166 sqft", per sqft
"road-08,house-141,block-E,secation-11",2,2,"4,000,000",720 sqft, total price
Gulshan north,4,4,"20,000","4,500 sqft", per sqft
"road-15,house-37,block-d,secation-12",3,3,"5,200,000","1,300 sqft", total price
"road-1,house-10,block-b,secation-12",3,3,"8,000,000","1,300 sqft", total price
"road-1,house-10,block-b,secation-12",6,6,"16,000,000","2,600 sqft", total price
"Beside The Sector#10.Road#09.House#08,Uttara, Dhaka.",2,3,"4,900","1,050 sqft", per sqft
"road-12,house-21,block-d,secation-12",2,2,"3,000,000",720 sqft, total price
"House-16,18, Road-08,Block-M, Banasree, Rampura, Dhaka-1219",3,4,"4,800","1,735 sqft", per sqft
"House-7,Rd-7,Block-C,Dhaka Uddan Housing,Mohammadpur",2,2,"3,800",650 sqft, per sqft
"Bashundhara R/A, Baridhara",3,3,"6,000","1,550 sqft", per sqft
"Sector - 05, Uttara",3,3,"6,800,000","1,120 sqft", total price
Uttara,2,3,"7,500,000","1,250 sqft", total price
Gulshan,4,3,"50,000,000","4,600 sqft", total price
Gulshan,4,4,"60,000,000","2,950 sqft", total price
Uttara,2,2,"5,500,000",950 sqft, total price
Uttara,4,3,"11,000,000","1,550 sqft", total price
Uttara,3,3,"8,500,000","1,400 sqft", total price
"House-34, Main Road, Block-B, Aftabnagar, Badda, Dhaka-1219",3,4,"5,500","2,377 sqft", per sqft
Gulshan,4,3,"40,000,000","2,600 sqft", total price
Gulshan,2,3,"40,000,000","2,600 sqft", total price
Bashundhara,3,4,"7,500","1,450 sqft", per sqft
"House # 530, 1st Floor, Road # 07, Mirpur DOHS, Dhaka.",3,4,"19,200,000","2,400 sqft", total price
